query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
вакансии свадебный салон,NaN,NaN,NaN,NaN,1
вакансии свободный,NaN,NaN,NaN,NaN,1
вакансии связист,NaN,NaN,NaN,NaN,1
вакансии следователя следственного комитета,NaN,следователь,NaN,NaN,0
вакансии смм без опыта,NaN,NaN,['без опыта'],NaN,0
вакансии собр,NaN,NaN,NaN,NaN,1
вакансии социальный работник,NaN,кухонный работник,NaN,NaN,0
вакансии социальный фонд россии,NaN,NaN,NaN,NaN,1
вакансии спасатель мчс,NaN,NaN,NaN,NaN,1
вакансии специалист по социальной работе,NaN,специалист ахо,NaN,NaN,0
вакансии сталепромышленная компания,NaN,NaN,NaN,NaN,1
вакансии старпома,NaN,NaN,NaN,NaN,1
вакансии стоматолог,NaN,NaN,NaN,NaN,1
вакансии стоматолог гигиенист,NaN,NaN,NaN,NaN,1
вакансии судебных приставов,NaN,NaN,NaN,NaN,1
вакансии судового электромеханика,NaN,электромеханик,NaN,NaN,0
вакансии судоводитель,NaN,судоводитель,NaN,NaN,0
вакансии судомеханика,NaN,NaN,NaN,NaN,1
вакансии сутки через трое,NaN,NaN,NaN,NaN,1
вакансии сушист без опыта,NaN,NaN,['без опыта'],NaN,0
вакансии таможня владивосток,NaN,NaN,NaN,NaN,1
вакансии техник технолог,NaN,зоотехник,NaN,NaN,0
вакансии тогас,NaN,NaN,NaN,NaN,1
вакансии трансгаз,NaN,NaN,NaN,NaN,1
вакансии тренер по плаванию,NaN,тренер,NaN,NaN,0
вакансии туризм,NaN,NaN,NaN,NaN,1
вакансии уборка,NaN,"уборщик, горничная",NaN,NaN,0
вакансии уборка квартир,NaN,"уборщик, горничная",NaN,NaN,0
вакансии уборщицы на неполный рабочий день,"['на неполный день', 'на неполный день']","уборщик, горничная",NaN,NaN,0
вакансии удаленная работа,['удаленная'],NaN,NaN,NaN,0
вакансии управляющий директор,NaN,директор,NaN,NaN,0
вакансии учитель иностранного языка,NaN,учитель,NaN,NaN,0
вакансии учитель химии,NaN,учитель,NaN,NaN,0
вакансии учителя английского,NaN,учитель,NaN,NaN,0
вакансии учителя русского языка и литературы на севере,NaN,учитель,NaN,NaN,0
вакансии фарпост,NaN,NaN,NaN,NaN,1
вакансии фасовщица упаковщица,NaN,фасовщик,NaN,NaN,0
вакансии феско,NaN,NaN,NaN,NaN,1
вакансии феско владивосток,NaN,NaN,NaN,NaN,1
вакансии физиотерапевт,NaN,NaN,NaN,NaN,1
вакансии фит сервис,NaN,NaN,NaN,NaN,1
вакансии фонд социального страхования,NaN,NaN,NaN,NaN,1
вакансии фсб владивосток,NaN,NaN,NaN,NaN,1
вакансии фск еэс,NaN,NaN,NaN,NaN,1
вакансии химик владивосток,NaN,химик,NaN,NaN,0
вакансии хлебозавод,NaN,NaN,NaN,NaN,1
вакансии швеи на дому,['на дому'],швея,NaN,NaN,0
вакансии шеф повара,NaN,пивовар,NaN,NaN,0
вакансии шоурум,NaN,NaN,NaN,NaN,1
вакансии экономическая безопасность,NaN,NaN,NaN,NaN,1
вакансии электрика,NaN,автоэлектрик,NaN,NaN,0
вакансии юрисконсульт,NaN,юрисконсульт,NaN,NaN,0
вакансия администратор магазина,NaN,администратор,NaN,NaN,0
вакансия аниматор,NaN,аниматор,NaN,NaN,0
вакансия ассистент руководителя,NaN,"руководитель, начальник",NaN,NaN,0
вакансия в магазин рукоделия,NaN,NaN,NaN,NaN,1
вакансия в пятерочке,NaN,NaN,NaN,NaN,1
вакансия водитель скорой помощи,NaN,водитель,NaN,NaN,0
вакансия врач кдл,NaN,врач,NaN,NaN,0
вакансия глория джинс,NaN,NaN,NaN,NaN,1
вакансия графический дизайнер без опыта,NaN,дизайнер,['без опыта'],NaN,0
вакансия домработница,NaN,"домработница, домработник",NaN,NaN,0
вакансия кальянщик,NaN,кальянщик,NaN,NaN,0
вакансия клоуна,NaN,NaN,NaN,NaN,1
вакансия комендант общежития,NaN,комендант,NaN,NaN,0
вакансия компьютерный мастер,NaN,NaN,NaN,NaN,1
вакансия кровельщик,NaN,кровельщик,NaN,NaN,0
вакансия медицинский психолог,NaN,психолог,NaN,NaN,0
вакансия медсестра,NaN,"медсестра, медбрат",NaN,NaN,0
вакансия механика,NaN,механик,NaN,NaN,0
вакансия научный сотрудник,NaN,охранник,NaN,NaN,0
вакансия начальник отдела кадров,NaN,"руководитель, начальник",NaN,NaN,0
вакансия начальник производства,NaN,"руководитель, начальник",NaN,NaN,0
вакансия озеленитель,NaN,озеленитель,NaN,NaN,0
вакансия охранник с ежедневной оплатой,NaN,охранник,NaN,с ежедневной оплатой,0
вакансия преподаватель русского языка,NaN,преподаватель,NaN,NaN,0
вакансия рабочий по обслуживанию зданий,NaN,рабочий,NaN,NaN,0
вакансия рентгенолог,NaN,NaN,NaN,NaN,1
вакансия секретарь судебного заседания,NaN,секретарь,NaN,NaN,0
вакансия слесарь ремонтник,NaN,слесарь,NaN,NaN,0
вакансия смотритель маяка,NaN,смотритель,NaN,NaN,0
вакансия стоматолога владивосток,NaN,NaN,NaN,NaN,1
вакансия строительная компания,NaN,NaN,NaN,NaN,1
вакансия судебный пристав исполнитель,NaN,NaN,NaN,NaN,1
вакансия судьи,NaN,NaN,NaN,NaN,1
вакансия тестировщик без опыта,NaN,мастер татуировки,['без опыта'],NaN,0
вакансия уборщик,NaN,"уборщик, горничная",NaN,NaN,0
вакансия уборщица,NaN,"уборщик, горничная",NaN,NaN,0
вакансия фасовщик,NaN,фасовщик,NaN,NaN,0
вакансия фото,NaN,NaN,NaN,NaN,1
вакансия экспедитор,NaN,экспедитор,NaN,NaN,0
валберис вакансии владивосток,NaN,NaN,NaN,NaN,1
валдберис работа,NaN,NaN,NaN,NaN,1
валкур вакансии,NaN,NaN,NaN,NaN,1
вахта,['вахта'],вахтер,NaN,NaN,0
вахта бетонщик,['вахта'],вахтер,NaN,NaN,0
вахта в корее,['вахта'],вахтер,NaN,NaN,0
вахта вакансии для женщин,['вахта'],вахтер,['для женщин'],NaN,0
вахта владивосток,['вахта'],вахтер,NaN,NaN,0
вахта водитель категории в,['вахта'],вахтер,NaN,NaN,0
вахта для мужчин,['вахта'],вахтер,['для мужчин'],NaN,0
вахта монтажник,['вахта'],вахтер,NaN,NaN,0
вахта работа без опыта,['вахта'],вахтер,['без опыта'],NaN,0
вахта разнорабочий,['вахта'],вахтер,NaN,NaN,0
вахта сварщик,['вахта'],вахтер,NaN,NaN,0
вахтенный матрос вакансии спб,NaN,матрос,NaN,NaN,0
вахтовый метод вакансии,NaN,NaN,NaN,NaN,1
вдк вакансии,NaN,NaN,NaN,NaN,1
веб дизайнер вакансия,NaN,дизайнер,NaN,NaN,0
ведущий вакансии,NaN,заведующий,NaN,NaN,0
ведущий мероприятий вакансии,NaN,заведующий,NaN,NaN,0
ведущий специалист по кадрам вакансии,NaN,заведующий,NaN,NaN,0
велесстрой вакансии вахта,['вахта'],вахтер,NaN,NaN,0
веста работа,NaN,NaN,NaN,NaN,1
ветеринар работа,NaN,NaN,NaN,NaN,1
ветеринарный санитар вакансии,NaN,санитар,NaN,NaN,0
вечерняя подработка для студентов,"['вечерняя', 'подработка']",NaN,['для студентов'],NaN,0
вечерняя подработка уборщицей от 25000,"['вечерняя', 'подработка']","уборщик, горничная",NaN,NaN,0
видеомонтажер без опыта,NaN,NaN,['без опыта'],NaN,0
видеонаблюдение вакансии,NaN,NaN,NaN,NaN,1
визуальный мерчендайзер вакансии,NaN,мерчендайзер,NaN,NaN,0
винлаб работа,NaN,NaN,NaN,NaN,1
вл ру работа,NaN,NaN,NaN,NaN,1
владивосток вакансии от прямых работодателей,NaN,NaN,NaN,NaN,1
владивосток работа вакансии,NaN,NaN,NaN,NaN,1
владивосток работа женщина,NaN,NaN,['для женщин'],NaN,0
владивосток работа с проживанием,NaN,NaN,NaN,с проживанием,0
владивосток работа свободно,NaN,NaN,NaN,NaN,1
владивосток работа электромеханик,NaN,электромеханик,NaN,NaN,0
владивосток фарпост работа,NaN,NaN,NaN,NaN,1
владивостокская таможня вакансии,NaN,NaN,NaN,NaN,1
владхлеб вакансии,NaN,NaN,NaN,NaN,1
водители категории е,NaN,водитель,NaN,NaN,0
водитель 6 разряда,NaN,водитель,NaN,NaN,0
водитель ozon,NaN,водитель,NaN,NaN,0
водитель автобуса владивосток,NaN,водитель,NaN,NaN,0
водитель автобуса категория д,NaN,водитель,NaN,NaN,0
водитель автобуса работа,NaN,водитель,NaN,NaN,0
водитель бензовоза,NaN,водитель,NaN,NaN,0
водитель в поликлинику,NaN,водитель,NaN,NaN,0
водитель вахтовки,NaN,водитель,NaN,NaN,0
водитель вилочного автопогрузчика,NaN,водитель,NaN,NaN,0
водитель вилочного погрузчика вахта,['вахта'],водитель,NaN,NaN,0
водитель грузовика вакансии,NaN,водитель,NaN,NaN,0
водитель грузовика работа,NaN,водитель,NaN,NaN,0
водитель д категории,NaN,водитель,NaN,NaN,0
водитель допог,NaN,водитель,NaN,NaN,0
водитель кат е вакансии,NaN,водитель,NaN,NaN,0
водитель категории b,NaN,водитель,NaN,NaN,0
водитель категории c e,NaN,водитель,NaN,NaN,0
водитель категории а3 вакансии,NaN,водитель,NaN,NaN,0
водитель катера вакансии,NaN,водитель,NaN,NaN,0
водитель манипулятора вакансии,NaN,водитель,NaN,NaN,0
водитель на автовоз,NaN,водитель,NaN,NaN,0
водитель на неполный рабочий день,"['на неполный день', 'на неполный день']",водитель,NaN,NaN,0
водитель на почту,NaN,водитель,NaN,NaN,0
водитель на сво по контракту,NaN,водитель,NaN,NaN,0
водитель на служебный автомобиль,NaN,водитель,NaN,NaN,0
водитель охранник гбр,NaN,водитель,NaN,NaN,0
водитель персональный,NaN,водитель,NaN,NaN,0
водитель погрузчика с ежедневной оплатой,NaN,водитель,NaN,с ежедневной оплатой,0
водитель пожарного автомобиля вакансии,NaN,водитель,NaN,NaN,0
водитель скорой помощи,NaN,водитель,NaN,NaN,0
водитель трактора,NaN,водитель,NaN,NaN,0
водитель фельдъегерь,NaN,водитель,NaN,NaN,0
водитель фронтального погрузчика,NaN,водитель,NaN,NaN,0
водитель экскаватора,NaN,водитель,NaN,NaN,0
водитель экспедитор категории в,NaN,водитель,NaN,NaN,0
водоканал работа,NaN,NaN,NaN,NaN,1
водолаз работа,NaN,водолаз,NaN,NaN,0
военная прокуратура вакансии,NaN,NaN,NaN,NaN,1
военная служба по контракту для офицеров запаса вакансии,NaN,NaN,NaN,NaN,1
военнослужащий вакансии,NaN,военнослужащий по контракту,NaN,NaN,0
военный следственный комитет вакансии,NaN,NaN,NaN,NaN,1
военный фельдшер вакансии,NaN,фельдшер,NaN,NaN,0
вожатый вакансии,NaN,вожатый,NaN,NaN,0
возьму на работу инвалида,NaN,NaN,['для инвалидов'],NaN,0
воспитатель группы продленного дня вакансии,['на неполный день'],воспитатель,NaN,NaN,0
востокцемент вакансии,NaN,NaN,NaN,NaN,1
восточная верфь вакансии,NaN,NaN,NaN,NaN,1
вохр вакансии,NaN,NaN,NaN,NaN,1
врач анестезиолог вакансии,NaN,врач,NaN,NaN,0
врач кардиолог вакансии,NaN,врач,NaN,NaN,0
врач лабораторной диагностики вакансии,NaN,врач,NaN,NaN,0
врач лабораторный генетик вакансии,NaN,врач,NaN,NaN,0
врач мвд вакансии,NaN,врач,NaN,NaN,0
врач рентгенолог вакансии без опыта,NaN,врач,['без опыта'],NaN,0
врач стоматолог детский вакансии,NaN,врач,NaN,NaN,0
врач трансфузиолог вакансии,NaN,врач,NaN,NaN,0
врач узи вакансии,NaN,врач,NaN,NaN,0
врач уролог вакансии,NaN,врач,NaN,NaN,0
врач физиотерапевт вакансии,NaN,врач,NaN,NaN,0
врач физической и реабилитационной медицины вакансии,NaN,врач,NaN,NaN,0
врач эпидемиолог вакансии,NaN,врач,NaN,NaN,0
врач ээг вакансии,NaN,врач,NaN,NaN,0
всг владивосток вакансии,NaN,NaN,NaN,NaN,1
выкладка товара вакансии,NaN,мерчендайзер,NaN,NaN,0
выплаты ежедневно,NaN,NaN,NaN,NaN,1
газпром вакансии владивосток,NaN,NaN,NaN,NaN,1
газпром водитель вакансии,NaN,водитель,NaN,NaN,0
гаи работа,NaN,NaN,NaN,NaN,1
гардеробщица вакансии,NaN,гардеробщик,NaN,NaN,0
гардеробщица работа,NaN,гардеробщик,NaN,NaN,0
геолог вакансия,NaN,геолог,NaN,NaN,0
геология вакансии,NaN,геолог,NaN,NaN,0
геофизик вакансии без опыта,NaN,NaN,['без опыта'],NaN,0
гибдд работа,NaN,NaN,NaN,NaN,1
гигиенист вакансии,NaN,NaN,NaN,NaN,1
гидрострой вакансии,NaN,NaN,NaN,NaN,1
гимс вакансии,NaN,NaN,NaN,NaN,1
главный инженер вакансия,NaN,инженер,NaN,NaN,0
гладильщик вакансии,NaN,гладильщик,NaN,NaN,0
глория джинс москва вакансии,NaN,NaN,NaN,NaN,1
горничная вакансии,NaN,"уборщик, горничная",NaN,NaN,0
горный диспетчер вакансии,NaN,диспетчер,NaN,NaN,0
госпиталь ветеранов войн вакансии,NaN,NaN,NaN,NaN,1
госпиталь тоф владивосток вакансии,NaN,NaN,NaN,NaN,1
гранд отель владивосток вакансии,NaN,NaN,NaN,NaN,1
гранит вакансии,NaN,NaN,NaN,NaN,1
грузчик в порт ежедневные выплаты,NaN,грузчик,NaN,с ежедневной оплатой,0
грузчик на склад с ежедневной оплатой,NaN,грузчик,NaN,с ежедневной оплатой,0
грузчик с проживанием,NaN,грузчик,NaN,с проживанием,0
грумер без опыта работы,NaN,NaN,['без опыта'],NaN,0
группы whatsapp москва работа,NaN,NaN,NaN,NaN,1
группы ватсап подработка,['подработка'],NaN,NaN,NaN,0
гувернантка работа,NaN,"гувернантка, гувернер",NaN,NaN,0
гувернер вакансии,NaN,NaN,NaN,NaN,1
движение первых вакансии,NaN,NaN,NaN,NaN,1
дворник вакансия,NaN,дворник,NaN,NaN,0
двфу вакансии,NaN,NaN,NaN,NaN,1
двфу работа,NaN,NaN,NaN,NaN,1
дежурный по общежитию вакансии,NaN,NaN,NaN,NaN,1
деловые линии вакансии,NaN,NaN,NaN,NaN,1
демонстратор пластических поз вакансии,NaN,NaN,NaN,NaN,1
детская больница вакансии,NaN,NaN,NaN,NaN,1
детский доктор вакансии,NaN,NaN,NaN,NaN,1
детский центр вакансии,NaN,NaN,NaN,NaN,1
дефектоскопист ржд вакансии,NaN,дефектоскопист,NaN,NaN,0
джоб работа,NaN,NaN,NaN,NaN,1
джоб ру вакансии,NaN,NaN,NaN,NaN,1
дизайнер интерьера работа,NaN,дизайнер,NaN,NaN,0
динамо вакансии,NaN,NaN,NaN,NaN,1
директолог без опыта вакансии,NaN,NaN,['без опыта'],NaN,0
директор по продажам вакансии,NaN,директор,NaN,NaN,0
диспетчер в пожарную часть вакансии,NaN,диспетчер,NaN,NaN,0
диспетчер на дому вакансии,['на дому'],диспетчер,NaN,NaN,0
диспетчер работа,NaN,диспетчер,NaN,NaN,0
дистанционная работа,NaN,NaN,NaN,NaN,1
дистанционная работа для студентов,NaN,NaN,['для студентов'],NaN,0
дмз вакансии,NaN,NaN,NaN,NaN,1
днс вакансии владивосток,NaN,NaN,NaN,NaN,1
днс вакансии кладовщик,NaN,кладовщик,NaN,NaN,0
днс девелопмент вакансии,NaN,NaN,NaN,NaN,1
днс работа,NaN,NaN,NaN,NaN,1
добросервис вакансии,NaN,NaN,NaN,NaN,1
доброфлот вакансии рыбообработчик,NaN,рыбообработчик,NaN,NaN,0
доброфлот работа в море отзывы,NaN,NaN,NaN,NaN,1
добыча краба вакансии,NaN,NaN,NaN,NaN,1
додо вакансии,NaN,NaN,NaN,NaN,1
додо работа,NaN,NaN,NaN,NaN,1
докер вакансии,NaN,докер-механизатор,NaN,NaN,0
докер работа,NaN,докер-механизатор,NaN,NaN,0
дом интернат для престарелых и инвалидов вакансии,NaN,NaN,['для инвалидов'],NaN,0
дом работник,NaN,кухонный работник,NaN,NaN,0
домотехника вакансии,NaN,зоотехник,NaN,NaN,0
домработница,NaN,"домработница, домработник",NaN,NaN,0
домработница владивосток,NaN,"домработница, домработник",NaN,NaN,0
домработница на день,['на неполный день'],"домработница, домработник",NaN,NaN,0
домработница от частного лица,NaN,"домработница, домработник",NaN,NaN,0
дорожные рабочие вакансии,NaN,рабочий,NaN,NaN,0
доставка банковских карт работа,NaN,NaN,NaN,NaN,1
доставщик еды вакансии,NaN,курьер,NaN,NaN,0
дром вакансии,NaN,NaN,NaN,NaN,1
дск приморье вакансии,NaN,NaN,NaN,NaN,1
дцсс вакансии,NaN,NaN,NaN,NaN,1
единая россия вакансии,NaN,NaN,NaN,NaN,1
ежедневная зарплата,NaN,NaN,NaN,с ежедневной оплатой,0
ежедневные выплаты,NaN,NaN,NaN,с ежедневной оплатой,0
ежедневные выплаты подработка,['подработка'],NaN,NaN,с ежедневной оплатой,0
желдорэкспедиция вакансии,NaN,NaN,NaN,NaN,1
журналист вакансия,NaN,журналист,NaN,NaN,0
завод изумруд вакансии,NaN,NaN,NaN,NaN,1
завод изумруд владивосток вакансии,NaN,NaN,NaN,NaN,1
завхоз работа,NaN,специалист ахо,NaN,NaN,0
загс вакансии,NaN,NaN,NaN,NaN,1
зажигалка вакансии,NaN,NaN,NaN,NaN,1
заместитель главного врача вакансии,NaN,заместитель,NaN,NaN,0
заполнение карточек вакансии,NaN,NaN,NaN,NaN,1
зарплата специалиста по социальной работе,NaN,специалист ахо,NaN,NaN,0
земельно имущественные отношения работа,NaN,NaN,NaN,NaN,1
ивс работа,NaN,NaN,NaN,NaN,1
иль патио вакансии,NaN,NaN,NaN,NaN,1
инженер асу вакансии,NaN,инженер,NaN,NaN,0
инженер лесного хозяйства вакансии,NaN,инженер,NaN,NaN,0
инженер ржд вакансии,NaN,инженер,NaN,NaN,0
инженер строитель автомобильных дорог вакансии,NaN,инженер,NaN,NaN,0
инженер электронщик вакансии,NaN,инженер,NaN,NaN,0
инкасатор вакансии,NaN,инкассатор,NaN,NaN,0
инспектор ваи вакансии,NaN,инспектор,NaN,NaN,0
интеррыбфлот вакансии,NaN,NaN,NaN,NaN,1
ишу работа водитель,NaN,водитель,NaN,NaN,0
ишу работа грузчик,NaN,грузчик,NaN,NaN,0
ишу работа уборщица,NaN,"уборщик, горничная",NaN,NaN,0
ищу парикмахера на работу,NaN,парикмахер,NaN,NaN,0
ищу работа на дачу без посредников,NaN,NaN,NaN,NaN,1
ищу работу 2 через 2,NaN,NaN,NaN,NaN,1
ищу работу в кафе,NaN,NaN,NaN,NaN,1
ищу работу водителем категории в с д е,NaN,водитель,NaN,NaN,0
ищу работу водитель категории е,NaN,водитель,NaN,NaN,0
ищу работу водителя автобуса,NaN,водитель,NaN,NaN,0
ищу работу грузчиком,NaN,грузчик,NaN,NaN,0
ищу работу для школьников,NaN,NaN,['для школьников'],NaN,0
ищу работу домработница,NaN,"домработница, домработник",NaN,NaN,0
ищу работу доставка на своем авто,NaN,NaN,NaN,NaN,1
ищу работу мастер маникюра и педикюра москва,NaN,NaN,NaN,NaN,1
ищу работу машинист экскаватора,NaN,машинист,NaN,NaN,0
ищу работу на дому,['на дому'],NaN,NaN,NaN,0
ищу работу на экскаваторе,NaN,NaN,NaN,NaN,1
ищу работу ночной смена,['ночная'],NaN,NaN,NaN,0
ищу работу отделочника без посредников,NaN,отделочник,NaN,NaN,0
ищу работу со своим грузовиком,NaN,NaN,NaN,NaN,1
ищу работу сторож охранник,NaN,сторож,NaN,NaN,0
ищу работу шиномонтажника,NaN,монтажник,NaN,NaN,0
ищу работу экскаваторщика,NaN,NaN,NaN,NaN,1
ищю работу,NaN,NaN,NaN,NaN,1
кабельщик спайщик вакансии,NaN,кабельщик,NaN,NaN,0
как работать с тсд на складе озон,NaN,NaN,NaN,NaN,1
камчатка вахта рыбообработчики,['вахта'],вахтер,NaN,NaN,0
капитан судна вакансии,NaN,капитан,NaN,NaN,0
кардиолог работа,NaN,NaN,NaN,NaN,1
кассир без опыта работы,NaN,кассир,['без опыта'],NaN,0
кдв вакансии,NaN,NaN,NaN,NaN,1
кдв групп вакансии,NaN,NaN,NaN,NaN,1
кейсистемс вакансии,NaN,NaN,NaN,NaN,1
керамист вакансии,NaN,NaN,NaN,NaN,1
киномакс вакансии,NaN,NaN,NaN,NaN,1
китайский язык работа,NaN,NaN,NaN,NaN,1
ккб 2 вакансии,NaN,NaN,NaN,NaN,1
клинический лаборант вакансии,NaN,лаборант,NaN,NaN,0
клинический фармаколог вакансии,NaN,NaN,NaN,NaN,1
клуб вакансии,NaN,NaN,NaN,NaN,1
книжный магазин вакансии,NaN,NaN,NaN,NaN,1
колл центр работа для подростков,NaN,NaN,NaN,NaN,1
колхоз октябрь камчатка вакансии,NaN,NaN,NaN,NaN,1
комета вакансии,NaN,NaN,NaN,NaN,1
коммерческий директор вакансии,NaN,директор,NaN,NaN,0
компания msc вакансии,NaN,NaN,NaN,NaN,1
компания газпром вакансии,NaN,NaN,NaN,NaN,1
компания русское море вакансии,NaN,NaN,NaN,NaN,1
компания феско вакансии,NaN,NaN,NaN,NaN,1
компаньон работа,NaN,NaN,NaN,NaN,1
композитор вакансии,NaN,NaN,NaN,NaN,1
комсомольская правда вакансии,NaN,NaN,NaN,NaN,1
кондитерский цех работа,NaN,NaN,NaN,NaN,1
контент фотограф вакансии,NaN,фотограф,NaN,NaN,0
копирайтер работа,NaN,копирайтер,NaN,NaN,0
копровщик вакансии,NaN,промывальщик геологических проб,NaN,NaN,0
корейский язык вакансии,NaN,NaN,NaN,NaN,1
корейский язык работа,NaN,NaN,NaN,NaN,1
корпорация развития дальнего востока вакансии,NaN,NaN,NaN,NaN,1
косметика парфюмерия вакансии москва,NaN,сметчик,NaN,NaN,0
косметолог вакансии,NaN,косметолог,NaN,NaN,0
краболов вакансии,NaN,NaN,NaN,NaN,1
краевая клиническая больница вакансии,NaN,NaN,NaN,NaN,1
крюинги вакансии,NaN,NaN,NaN,NaN,1
кто требуется на работу,NaN,NaN,NaN,NaN,1
куда устроиться на работу в 16 лет,NaN,NaN,NaN,NaN,1
курильские острова вакансии,NaN,NaN,NaN,NaN,1
курьер автозапчастей,NaN,курьер,NaN,NaN,0
курьер водитель,NaN,курьер,NaN,NaN,0
курьер для школьников,NaN,курьер,['для школьников'],NaN,0
курьер еаптека,NaN,курьер,NaN,NaN,0
курьер корея,NaN,курьер,NaN,NaN,0
курьер на машине работа,NaN,курьер,NaN,NaN,0
курьер с 15 лет,NaN,курьер,NaN,NaN,0
кухонный работник в столовую,NaN,кухонный работник,NaN,NaN,0
кфс работа,NaN,NaN,NaN,NaN,1
кфс работа с 17,NaN,NaN,NaN,NaN,1
лабиринт вакансии,NaN,NaN,NaN,NaN,1
лабораторная диагностика вакансии,NaN,NaN,NaN,NaN,1
лагерь работа,NaN,NaN,NaN,NaN,1
ламода вакансии пункт выдачи,NaN,NaN,NaN,NaN,1
ланикс м вакансии,NaN,NaN,NaN,NaN,1
лепщик пельменей вакансия,NaN,NaN,NaN,NaN,1
леруа мерлен вакансии владивосток,NaN,NaN,NaN,NaN,1
лесная поляна работа,NaN,NaN,NaN,NaN,1
лидер работа,NaN,NaN,NaN,NaN,1
лифтер в больнице вакансии,NaN,лифтер,NaN,NaN,0
личный водитель зарплата,NaN,водитель,NaN,NaN,0
личный водитель руководителя,NaN,"руководитель, начальник",NaN,NaN,0
логист жд перевозок вакансия,NaN,логист,NaN,NaN,0
логопед дефектолог вакансии,NaN,дефектолог,NaN,NaN,0
лотос вакансии,NaN,NaN,NaN,NaN,1
лотте владивосток вакансии,NaN,NaN,NaN,NaN,1
магазин одежды вакансии,NaN,NaN,NaN,NaN,1
макетчик вакансии,NaN,NaN,NaN,NaN,1
маляр по металлу вахта свежие вакансии,['вахта'],маляр,NaN,NaN,0
маляр работа,NaN,маляр,NaN,NaN,0
маляр штукатур вакансии,NaN,маляр,NaN,NaN,0
маникюр педикюр без опыта,NaN,NaN,['без опыта'],NaN,0
маникюрщица вакансии,NaN,NaN,NaN,NaN,1
марин вакансии,NaN,NaN,NaN,NaN,1
массаж вакансии,NaN,NaN,NaN,NaN,1
массажист в санаторий вакансии,NaN,массажист,NaN,NaN,0
массажист вакансия,NaN,массажист,NaN,NaN,0
мастер маникюра и педикюра без опыта,NaN,NaN,['без опыта'],NaN,0
мастер перманентного макияжа вакансии,NaN,NaN,NaN,NaN,1
мастер по депиляции вакансии,NaN,NaN,NaN,NaN,1
мастер по шугарингу вакансии,NaN,NaN,NaN,NaN,1
мастер прораб вакансии,NaN,прораб,NaN,NaN,0
матрос без опыта вакансии,NaN,матрос,['без опыта'],NaN,0
матрос практикант вакансии,NaN,матрос,NaN,NaN,0
матрос работа,NaN,матрос,NaN,NaN,0
машинист башенного крана работа,NaN,машинист,NaN,NaN,0
машинист крана работа,NaN,машинист,NaN,NaN,0
машинист поезда вакансии,NaN,машинист,NaN,NaN,0
машинист экскаватора без опыта,NaN,машинист,['без опыта'],NaN,0
машинист экструдера вакансии,NaN,машинист,NaN,NaN,0
машинист электропоезда вакансии,NaN,машинист,NaN,NaN,0
мвд вакансии,NaN,NaN,NaN,NaN,1
мвд работа,NaN,NaN,NaN,NaN,1
мгу вакансии преподавателей,NaN,преподаватель,NaN,NaN,0
мебель работа,NaN,NaN,NaN,NaN,1
мегахенд работа,NaN,NaN,NaN,NaN,1
медицинская сестра функциональной диагностики вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
медицинский колледж вакансии,NaN,NaN,NaN,NaN,1
медсестра covid вакансии москва,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра анестезист вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра операционная вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра работа,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра участковая вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
медсестра функциональной диагностики вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
менеджер вайлдберриз работа,NaN,менеджер,NaN,NaN,0
менеджер по работе с дистрибьюторами,NaN,менеджер,NaN,NaN,0
менеджер по работе с документами,NaN,менеджер,NaN,NaN,0
менеджер по работе с клиентами в банке,NaN,менеджер,NaN,NaN,0
менеджер по работе с персоналом,NaN,менеджер,NaN,NaN,0
менеджер по работе с федеральными сетями,NaN,менеджер,NaN,NaN,0
менеджер по туризму вакансии без опыта,NaN,менеджер,['без опыта'],NaN,0
мерчендайзер вакансия,NaN,мерчендайзер,NaN,NaN,0
механик наладчик вакансии,NaN,механик,NaN,NaN,0
механик по транспорту вакансии,NaN,механик,NaN,NaN,0
минтранс россии вакансии,NaN,NaN,NaN,NaN,1
минюст вакансии,NaN,NaN,NaN,NaN,1
младший медицинский персонал вакансии,NaN,NaN,NaN,NaN,1
мойка посуды оплата каждый день,['на неполный день'],мойщик,NaN,с ежедневной оплатой,0
мойка работа,NaN,мойщик,NaN,NaN,0
мойщица посуды с ежедневной оплатой,NaN,мойщик,NaN,с ежедневной оплатой,0
монтажник вакансии,NaN,монтажник,NaN,NaN,0
монтажник волс вакансии,NaN,монтажник,NaN,NaN,0
монтажник трубопроводов вакансии,NaN,монтажник,NaN,NaN,0
морская пехота спутник вакансии,NaN,NaN,NaN,NaN,1
морская спасательная служба вакансии,NaN,NaN,NaN,NaN,1
морской волк вакансии,NaN,NaN,NaN,NaN,1
морской порт суходол вакансии,NaN,NaN,NaN,NaN,1
морской траст вакансии,NaN,NaN,NaN,NaN,1
морспасслужба вакансии,NaN,NaN,NaN,NaN,1
моторист 1 класса вакансии,NaN,моторист,NaN,NaN,0
моторист 2 класса вакансии,NaN,моторист,NaN,NaN,0
музейный смотритель вакансии,NaN,смотритель,NaN,NaN,0
